$z$ = 0.15 $F_{s_{M,3}}$ = 39155.01537934746
$z$ = 0.25 $F_{s_{M,3}}$ = 32173.00207026125
$z$ = 0.35 $F_{s_{M,3}}$ = 13498.80184854655
$z$ = 0.45 $F_{s_{M,3}}$ = 4215.416933809619
$z$ = 0.55 $F_{s_{M,3}}$ = 1073.3630137785458
$z$ = 0.65 $F_{s_{M,3}}$ = 224.07707399287733
$z$ = 0.75 $F_{s_{M,3}}$ = 32.49048448898065
$z$ = 0.85 $F_{s_{M,3}}$ = 2.5059887022761353
$z$ = 0.95 $F_{s_{M,3}}$ = 0.016915400266453967
$z$ = 1.05 $F_{s_{M,3}}$ = 0.009489346058193664
$z$ = 1.15 $F_{s_{M,3}}$ = 0.4300236754387414
$z$ = 1.25 $F_{s_{M,3}}$ = 1.7786761087534952
$z$ = 1.35 $F_{s_{M,3}}$ = 3.7546394920979695
$z$ = 1.45 $F_{s_{M,3}}$ = 5.164993126496482
$z$ = 1.55 $F_{s_{M,3}}$ = 6.070438871735085
$z$ = 1.65 $F_{s_{M,3}}$ = 5.568160263184662
$z$ = 1.75 $F_{s_{M,3}}$ = 4.821506371559683
$z$ = 1.85 $F_{s_{M,3}}$ = 3.3725988089369947
$z$ = 1.95 $F_{s_{M,3}}$ = 2.1469130385166593
