$z$ = 0.15 $F_{s_{M,3}}$ = 699.7596096860516
$z$ = 0.25 $F_{s_{M,3}}$ = 491.2810206690172
$z$ = 0.35 $F_{s_{M,3}}$ = 185.10463226895098
$z$ = 0.45 $F_{s_{M,3}}$ = 57.1635111203166
$z$ = 0.55 $F_{s_{M,3}}$ = 14.434476890658907
$z$ = 0.65 $F_{s_{M,3}}$ = 2.9487215805671805
$z$ = 0.75 $F_{s_{M,3}}$ = 0.4132308843317473
$z$ = 0.85 $F_{s_{M,3}}$ = 0.03048012819537292
$z$ = 0.95 $F_{s_{M,3}}$ = 0.00019478462498180994
$z$ = 1.05 $F_{s_{M,3}}$ = 0.00010246377647048175
$z$ = 1.15 $F_{s_{M,3}}$ = 0.0043150069246517125
$z$ = 1.25 $F_{s_{M,3}}$ = 0.01644132780407652
$z$ = 1.35 $F_{s_{M,3}}$ = 0.03169051516177802
$z$ = 1.45 $F_{s_{M,3}}$ = 0.039452573663458584
$z$ = 1.55 $F_{s_{M,3}}$ = 0.041553957495881005
$z$ = 1.65 $F_{s_{M,3}}$ = 0.03382830745959561
$z$ = 1.75 $F_{s_{M,3}}$ = 0.025751930018443586
$z$ = 1.85 $F_{s_{M,3}}$ = 0.015692575699956586
$z$ = 1.95 $F_{s_{M,3}}$ = 0.008643758326535134
